2025-05-22 18:11:56,163 | INFO | ulauncher: main() | Ulauncher version 5.15.7
2025-05-22 18:11:56,163 | INFO | ulauncher: main() | Extension API version 2.0.0
2025-05-22 18:11:56,163 | INFO | ulauncher: main() | GTK+ 3.24.49
2025-05-22 18:11:56,163 | INFO | ulauncher: main() | Is Wayland: True
2025-05-22 18:11:56,163 | INFO | ulauncher: main() | Wayland compatibility: off
2025-05-22 18:11:56,178 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2025-05-22 18:11:56,181 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2025-05-22 18:11:56,181 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2025-05-22 18:11:56,181 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2025-05-22 18:11:56,182 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2025-05-22 18:11:56,182 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2025-05-22 18:11:56,182 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2025-05-22 18:11:56,182 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2025-05-22 18:11:56,182 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2025-05-22 18:11:56,182 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2025-05-22 18:11:56,183 | DEBUG | ulauncher.utils.display: get_screens() | Found 2 monitor(s)
2025-05-22 18:11:56,183 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 3840, H: 2160
2025-05-22 18:11:56,183 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 3840, Y: 210, W: 3072, H: 1728
2025-05-22 18:11:56,193 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-05-22 18:11:56,195 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2025-05-22 18:11:56,195 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2025-05-22 18:11:56,207 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 97 apps in cache
2025-05-22 18:11:56,209 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.abhishekmj303.ulauncher-playerctl" started. PID 4360
2025-05-22 18:11:56,210 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.the-lay.ulauncher-spotify-api" started. PID 4362
2025-05-22 18:11:56,211 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.tuanpham-dev.ulauncher-better-calculator" started. PID 4364
2025-05-22 18:11:56,212 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ngencokamin.ulauncher-bitwarden-rbw" started. PID 4366
